car_make,car_model,car_model_year
Audi,Coupe Quattro,1991
Dodge,Ram Wagon B150,1994
Ford,E-Series,2005
Nissan,Pathfinder,2004
Chrysler,Pacifica,2007
Nissan,350Z Roadster,2006
GMC,Rally Wagon G3500,1996
Plymouth,Roadrunner,1969
Mitsubishi,Endeavor,2005
BMW,6 Series,2009
Ford,Bronco,1994
Pontiac,Grand Prix,1962
Lincoln,Navigator,2002
Mercedes-Benz,E-Class,1998
Subaru,B9 Tribeca,2007
Chevrolet,Express 2500,2002
Pontiac,Parisienne,1985
Porsche,911,2008
Pontiac,Firebird,1967
Pontiac,Montana,2000
Land Rover,Defender 90,1995
Dodge,Charger,2008
Mitsubishi,Mighty Max,1995
Audi,S4,1992
Cadillac,Eldorado,1997
Buick,Riviera,1997
Chrysler,Sebring,2001
Mercedes-Benz,W201,1987
Ford,Escort,1985
Nissan,Armada,2005
GMC,Yukon,1996
Mercedes-Benz,M-Class,2003
Honda,Insight,2002
Nissan,Maxima,1997
Infiniti,I,1996
Toyota,Highlander Hybrid,2007
Buick,Terraza,2007
Ford,Econoline E350,1995
Saturn,VUE,2002
Mercedes-Benz,SLK-Class,2006
Hyundai,Elantra,2000
Toyota,Matrix,2006
Cadillac,XLR,2005
Jeep,Wrangler,2012
Chevrolet,Monte Carlo,2001
Pontiac,GTO,1971
Volvo,V90,1997
Audi,A4,2010
Infiniti,G,2001
Saab,9-3,2009
Pontiac,Sunbird,1992
Hyundai,XG350,2004
Acura,RL,2008
Land Rover,LR2,2009
Subaru,Outback,2005
Pontiac,Monterey,2005
Audi,TT,2006
Rolls-Royce,Ghost,2011
Mitsubishi,Galant,1986
Lexus,SC,2007
Subaru,BRZ,2013
Jeep,Wrangler,1992
Chevrolet,Cavalier,1995
Jeep,Grand Cherokee,2000
Nissan,200SX,1995
Toyota,Tercel,1992
Nissan,370Z,2010
Mazda,MX-5,1992
Ford,Ranger,2011
Audi,5000S,1985
Jeep,Compass,2010
Mitsubishi,Montero,2005
Buick,Special,1962
Nissan,Maxima,2009
Plymouth,Grand Voyager,1997
Ford,E-350 Super Duty,2006
Mercedes-Benz,600SEC,1993
Porsche,Cayenne,2003
Porsche,911,2013
Hyundai,Entourage,2009
Chevrolet,Impala,2001
Chevrolet,Express 1500,2001
Mercedes-Benz,Sprinter,2010
Nissan,Sentra,1997
Land Rover,Range Rover Classic,1993
Lincoln,Navigator L,2007
Volvo,XC60,2011
Toyota,MR2,1986
Ford,F-Series,1986
Ford,Escape,2001
Aston Martin,Virage,2012
Buick,Riviera,1995
Land Rover,Range Rover,2012
Cadillac,Escalade ESV,2012
Ford,Econoline E350,2000
Dodge,Nitro,2010
Mercedes-Benz,CLK-Class,2001
BMW,X5,2012
Maserati,Quattroporte,2010
Mitsubishi,Outlander,2004
